Run,Learning_Rate,Dropout,Conv_Layers,Units_Last_Layer,Filters_Layer_1,Filters_Layer_2,Run_Type,trainable_params,visual_overfitting,train_acc,train_loss,val_acc,val_loss,overfitting_gap,precision_female,recall_female,F1-score_female,precision_male,recall_male,F1-score_male,F1-score accuracy
1,0.005,0.2,4,4096,32,16,Factorial,9497777,0,0.507656,0.6932545,0.43617,0.696299,0.071486,0.44,1,0.61,0,0,0,0.44
2,0.0005,0.2,2,1024,8,16,Factorial,14749209,1,0.853946,0.3263655,0.845745,0.4470725,0.008201,0.785,0.89,0.835,0.905,0.81,0.855,0.845
3,0.005,0.2,4,1024,32,16,Factorial,2413745,1,0.743816,0.5256995,0.7340425,0.5619915,0.0097735,0.645,0.85,0.735,0.85,0.64,0.73,0.735
4,0.005,0.5,4,4096,32,16,Factorial,9497777,0,0.507656,0.6931685,0.43617,0.6952065,0.071486,0.44,1,0.61,0,0,0,0.44
5,0.005,0.2,2,1024,32,16,Factorial,14753841,1,0.7379265,0.5302065,0.7659575,0.5534995,-0.028031,0.68,0.89,0.77,0.89,0.67,0.76,0.77
6,0.0005,0.2,4,4096,32,16,Factorial,9497777,1,0.876914,0.294852,0.8723405,0.320879,0.0045735,0.8,0.955,0.865,0.955,0.81,0.88,0.87
7,0.005,0.2,2,4096,8,16,Factorial,58992153,0.5,0.75265,0.5010195,0.755319,0.561517,-0.002669,0.69,0.795,0.74,0.82,0.73,0.77,0.755
8,0.001,0.3,3,512,16,32,Axial,6447473,0.5,0.8716135,0.3015805,0.8031915,0.430626,0.068422,0.765,0.795,0.78,0.835,0.81,0.82,0.805
9,0.0005,0.2,4,1024,8,16,Factorial,2409113,1,0.8722025,0.2989215,0.8457445,0.4011255,0.026458,0.765,0.95,0.845,0.96,0.765,0.845,0.845
10,0.0005,0.2,4,4096,8,16,Factorial,9493145,0,0.894582,0.259176,0.845745,0.389958,0.048837,0.775,0.915,0.835,0.92,0.79,0.855,0.845
11,0.0005,0.5,2,1024,32,64,Factorial,59004513,0.5,0.885159,0.2780885,0.851064,0.4431185,0.034095,0.8,0.875,0.835,0.9,0.83,0.86,0.85
12,0.0005,0.5,2,1024,8,64,Factorial,58989513,0.5,0.868669,0.3157045,0.8351065,0.4210945,0.0335625,0.785,0.865,0.82,0.895,0.81,0.845,0.835
13,0.001,0.6,3,2048,16,32,Axial,25718129,1,0.850412,0.3490555,0.824468,0.417058,0.025944,0.75,0.905,0.82,0.91,0.765,0.83,0.825
14,0.005,0.5,2,1024,8,64,Factorial,58989513,0.5,0.801531,0.424541,0.792553,0.5070645,0.008978,0.7,0.915,0.795,0.915,0.7,0.79,0.795
